source_table,raw_csv_files,deduped_rows
extraction_status.csv,51,725
fee_commission_long.csv,51,677
financials_core_long.csv,51,3410
ifrs9_stage_distribution_long .csv,1,16
ifrs9_stage_distribution_long.csv,50,2394
liquidity_risk_long.csv,51,3264
loan_5class_migration_long.csv,51,158
loan_npl_industry_long.csv,51,780
loan_npl_product_long.csv,51,292
loan_writeoff_long.csv,51,431
nim_long.csv,51,3511
other_noninterest_income_long.csv,51,590
provision_long.csv,51,587
repricing_long.csv,50,2769
special_metrics_long.csv,51,853
晋商银行2025_extraction_status.csv,1,13
晋商银行2025_fee_commission_long.csv,1,11
晋商银行2025_financials_core_long.csv,1,52
晋商银行2025_ifrs9_stage_distribution_long.csv,1,16
晋商银行2025_liquidity_risk_long.csv,1,41
晋商银行2025_loan_5class_migration_long.csv,1,1
晋商银行2025_loan_npl_industry_long.csv,1,15
晋商银行2025_loan_npl_product_long.csv,1,5
晋商银行2025_loan_writeoff_long.csv,1,2
晋商银行2025_nim_long.csv,1,45
晋商银行2025_other_noninterest_income_long.csv,1,9
晋商银行2025_provision_long.csv,1,10
晋商银行2025_repricing_long.csv,1,36
晋商银行2025_special_metrics_long.csv,1,17
