数据类型,原有数据字段,原有数据完整性,Tushare字段,Tushare完整性,年报抓取字段/表,抓取完整性,Portal已使用,未使用/待接入,可挖掘信息
核心财务三表,assets、basicEps、coreRevenue、deposits、equity、feeIncome、incomeTax、interestExpense、interestIncome、liabilities、loans、netInterestIncome、netProfit、netProfitGrowth、operatingCashFlow、ppop、ppopGrowth、revenue、revenueGrowth,96%,assets、basicEps、coreRevenue、deposits、equity、feeIncome、incomeTax、interestExpense、interestIncome、liabilities、netInterestIncome、netProfit、operatingCashFlow、revenue,83%,assets、deposits、equity、feeIncome、incomeTax、interestExpense、interestIncome、liabilities、loans、netInterestIncome、netProfit、revenue、totalProfit,79%,assets、basicEps、coreRevenue、deposits、equity、feeIncome、incomeTax、interestExpense、interestIncome、liabilities、loans、netInterestIncome、netProfit、netProfitGrowth、operatingCashFlow、ppop、ppopGrowth、revenue、revenueGrowth,totalProfit,作为经营底表和三源校验层；差异主要来自单位、符号、净额/总额、归母/合并口径，建议先建立口径规则后再补主表。
盈利质量与非息收入,adminExpense、cashProfitRatio、coreRevenue、coreRevenueGrowth、costIncomeRatio、feeAssetRatio、nonInterestShare、operatingCashFlow、roa、roe、trueCoreNonInterest、volatileIncomeShare,89%,adminExpense、assetImpairLoss、cashProfitRatio、coreRevenue、costIncomeRatio、creditImpairLoss、dupontAssetTurn、dupontLeverage、dupontNetMargin、extraItemAmount、fairValueChgGain、feeAssetRatio、investIncome、nonInterestShare、operatingCashFlow,71%,assetImpairLoss、costIncomeRatio、creditImpairLoss、fairValueChgGain、fxGain、investIncome、otherAssetImpairLoss、otherNonInterestIncome、roa、roe,70%,adminExpense、assetImpairLoss、cashProfitRatio、coreRevenue、coreRevenueGrowth、costIncomeRatio、creditImpairLoss、extraItemAmount、feeAssetRatio、investIncome、nonInterestShare、operatingCashFlow、roa、roe、trueCoreNonInterest、volatileIncomeShare,dupontAssetTurn、dupontLeverage、dupontNetMargin、fairValueChgGain、fxGain、otherAssetImpairLoss、otherNonInterestIncome,可升级利润质量专题：手续费拆分、投资收益/公允价值/汇兑损益拆分、信用减值结构，解释利润是客户经营、市场波动还是拨备释放。
息差与资产负债定价,corporateDemandDepositShare、corporateTimeDeposit、earningAssetYield、interestLiabilityCost、nim、nimGapBp、nimGapPoint、personalDemandDepositShare、personalTimeDeposit、realLoanDepositSpread、timeDepositShare,80%,无直接字段,0%,earningAssetYield、interestLiabilityCost、nim、realLoanDepositSpread,82%,corporateDemandDepositShare、earningAssetYield、interestLiabilityCost、nim、nimGapBp、nimGapPoint、personalDemandDepositShare、realLoanDepositSpread、timeDepositShare,corporateTimeDeposit、personalTimeDeposit,可挖掘重定价缺口、资产收益率分项、负债成本分项，把“息差防守”从单一 NIM 扩成资产/负债期限桶和成本传导链。
风险拨备与资产质量,billDiscountNpl、corporateLoanNpl、hiddenNplExposure、npl、overdueNplDeviation、overdueRatio、personalLoanNpl、profitPpopGap、provisionCoverage、specialMentionRatio,97%,无直接字段,0%,npl、personalLoanNpl、provisionCoverage,73%,billDiscountNpl、corporateLoanNpl、hiddenNplExposure、npl、overdueNplDeviation、personalLoanNpl、profitPpopGap、provisionCoverage、specialMentionRatio,overdueRatio,可升级风险专题：五级分类迁徙、核销/回收、信用减值分项、拨备覆盖变化，解释风险是否前移确认。
零售风险深钻,businessLoanNpl、businessLoanShare、consumerLoanNpl、consumerLoanShare、housingLoanNpl、housingLoanShare、retailRiskMax、retailRiskSpread,62%,无直接字段,0%,businessLoanNpl、consumerLoanNpl、creditCardLoanNpl、housingLoanNpl,34%,businessLoanNpl、businessLoanShare、consumerLoanNpl、consumerLoanShare、housingLoanNpl、housingLoanShare、retailRiskMax,creditCardLoanNpl、retailRiskSpread,当前 Portal 用了个贷/零售剪刀差，但还可加入住房、消费、经营、信用卡的余额占比和不良贡献，形成零售风险归因图。
资本与估值,basicEps、carBuffer、cet1、cet1Buffer、costIncomeRatio、estimatedRwa、pb、pbChange、pbMid、rwaAssetGrowthGap、rwaDensity、rwaProfitGrowthGap,94%,basicEps、costIncomeRatio、divYield、divYieldTtm、peTtm、totalMarketValue、turnoverRate,93%,cet1、costIncomeRatio,73%,basicEps、carBuffer、cet1、cet1Buffer、costIncomeRatio、divYield、divYieldTtm、estimatedRwa、pb、pbMid、peTtm、rwaDensity、rwaProfitGrowthGap、totalMarketValue、turnoverRate,pbChange、rwaAssetGrowthGap,可把 PB 归因从经营指标扩展到市场信号：股息率、换手率、市值规模、资本余量、RWA 消耗共同解释估值折价。
流动性与期限错配,liquidityCoverageRatio、liquidityRatio,86%,无直接字段,0%,liquidityCoverageRatio、liquidityRatio、loanDepositRatio,49%,liquidityCoverageRatio,liquidityRatio、loanDepositRatio,目前 Portal 基本只用 LCR/流动性比率，可进一步用期限桶构造流动性缺口、短端压力、同业负债依赖度。
投资结构与 IFRS9,bondInvestment、fundInvestment、investmentAssetRatio、trustWmInvestment,79%,acAssets、afaAssets、fvociAssets、htmInvest、tradAsset,17%,debtInvestment、otherDebtInvestment、tradAsset,41%,acAssets、afaAssets、bondInvestment、fundInvestment、fvociAssets、htmInvest、tradAsset、trustWmInvestment,debtInvestment、investmentAssetRatio、otherDebtInvestment,可补 IFRS9 三阶段和金融投资结构，解释利润波动、公允价值敞口、减值准备是否集中在某类资产。
现金流深度,无直接字段,0%,cashflowFncAct、cashflowInvAct、centralBankAdj、depositGrowthCF、loanIssuanceCF,33%,明细表：financials_core_long.csv,明细表已覆盖，待字段化,cashflowFncAct、cashflowInvAct、depositGrowthCF、loanIssuanceCF,centralBankAdj,可把经营现金流、投资现金流、筹资现金流与存贷扩张联动，识别扩表是否消耗现金或依赖再融资。
行业/期限/明细附注,无直接字段,0%,无直接字段,0%,明细表：extraction_status.csv、loan_npl_industry_long.csv、loan_writeoff_long.csv,明细表已覆盖，待字段化,基本未使用,,这些明细当前几乎未进入 Portal，适合做后端明细事实表：行业不良、核销回收、抽取状态质量控制。
