bank,mapped_fields,has_main_2025,has_tushare_2025,file_types
上海,39,Y,Y,14
上海农商行,29,Y,N,14
东莞农商行,26,Y,N,14
中信银行,34,Y,Y,14
中原,32,Y,N,14
九江,24,Y,N,14
光大银行,28,Y,Y,14
兰州,28,Y,N,14
兴业银行,29,Y,Y,14
北京,27,Y,Y,14
华夏银行,24,Y,Y,14
南京,28,Y,Y,14
厦门,28,Y,Y,14
哈尔滨,23,Y,N,14
天津,12,Y,N,14
威海,20,Y,N,14
宁波,27,Y,Y,14
宜宾市,29,Y,N,14
常熟农商行,25,Y,Y,14
平安银行,36,Y,Y,14
广州农商行,25,Y,N,14
张家港农商行,31,Y,Y,14
徽商,27,Y,N,14
成都,11,Y,Y,14
招商银行,25,Y,Y,14
无锡农商行,29,Y,N,14
晋商,27,Y,N,14
杭州,30,Y,Y,14
民生银行,34,Y,Y,14
江苏,27,Y,N,14
江西,29,Y,N,14
江阴,30,N,Y,14
泸州,20,Y,N,14
浙商银行,27,Y,Y,14
浦发银行,32,Y,Y,14
渤海银行,24,Y,N,14
瑞丰农商行,32,Y,Y,14
甘肃,25,Y,N,14
紫金农商行,30,Y,Y,14
苏州,30,Y,Y,14
苏州农商行,33,Y,Y,14
西安,27,Y,N,14
贵州,20,Y,N,14
贵阳,30,Y,Y,14
郑州,25,Y,Y,14
重庆,23,Y,Y,14
重庆农商行,36,Y,Y,14
长沙,29,Y,Y,14
青岛,28,Y,Y,14
青岛农商行,34,Y,Y,14
齐鲁,26,Y,Y,14
