field,scraped_non_null,scraped_bank_year_coverage,main_overlap,main_conflict_gt3pct,tushare_overlap,tushare_conflict_gt3pct
creditImpairLoss,51,1.0,0,0,0,0
netProfit,50,0.9803921568627451,47,17,0,0
nim,50,0.9803921568627451,49,0,0,0
feeIncome,49,0.9607843137254902,46,16,0,0
netInterestIncome,49,0.9607843137254902,46,16,0,0
otherNonInterestIncome,47,0.9215686274509803,0,0,0,0
earningAssetYield,46,0.9019607843137255,45,1,0,0
fairValueChgGain,46,0.9019607843137255,0,0,0,0
fxGain,46,0.9019607843137255,0,0,0,0
interestLiabilityCost,46,0.9019607843137255,45,2,0,0
investIncome,46,0.9019607843137255,0,0,0,0
deposits,45,0.8823529411764706,44,18,0,0
roa,44,0.8627450980392157,42,1,0,0
revenue,41,0.803921568627451,39,15,0,0
loans,40,0.7843137254901961,39,25,0,0
assets,39,0.7647058823529411,36,14,0,0
equity,39,0.7647058823529411,37,13,0,0
liabilities,39,0.7647058823529411,36,13,0,0
cet1,38,0.7450980392156863,37,0,0,0
npl,38,0.7450980392156863,37,0,0,0
provisionCoverage,38,0.7450980392156863,37,0,0,0
costIncomeRatio,36,0.7058823529411765,35,0,0,0
personalLoanNpl,36,0.7058823529411765,35,3,0,0
totalProfit,36,0.7058823529411765,0,0,0,0
incomeTax,32,0.6274509803921569,30,19,0,0
liquidityRatio,32,0.6274509803921569,30,0,0,0
interestExpense,31,0.6078431372549019,30,22,0,0
interestIncome,31,0.6078431372549019,30,9,0,0
liquidityCoverageRatio,27,0.5294117647058824,27,0,0,0
realLoanDepositSpread,25,0.49019607843137253,0,0,0,0
roe,24,0.47058823529411764,18,0,0,0
debtInvestment,21,0.4117647058823529,0,0,0,0
otherDebtInvestment,21,0.4117647058823529,0,0,0,0
tradAsset,21,0.4117647058823529,0,0,0,0
housingLoanNpl,20,0.39215686274509803,17,0,0,0
consumerLoanNpl,19,0.37254901960784315,15,0,0,0
businessLoanNpl,18,0.35294117647058826,16,1,0,0
loanDepositRatio,16,0.3137254901960784,0,0,0,0
otherAssetImpairLoss,16,0.3137254901960784,0,0,0,0
creditCardLoanNpl,12,0.23529411764705882,0,0,0,0
assetImpairLoss,3,0.058823529411764705,0,0,0,0
